"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,0,1,1,1,1,20140220,20140415
2,1,0,1,1,1,1,1,20140220,20140414
3,1,1,1,1,1,1,1,20140416,20140506
4,1,1,0,1,1,1,1,20140508,20140527
5,1,1,1,1,1,1,1,20140528,20140624
6,1,1,0,1,1,1,1,20140626,20140729
7,1,1,1,1,1,1,1,20140730,20140826
8,0,0,0,1,1,1,1,20140828,20140831
9,0,0,1,0,0,0,0,20140924,20141001
10,1,1,1,1,1,1,1,20140415,20140505
11,1,0,1,1,1,1,1,20140507,20140526
12,1,1,1,1,1,1,1,20140527,20140623
13,1,0,1,1,1,1,1,20140625,20140728
14,1,1,1,1,1,1,1,20140729,20140825
15,0,0,1,1,1,1,1,20140827,20140831
16,0,1,0,0,0,0,0,20140923,20140930
17,1,1,1,1,1,1,1,20131010,20131224
18,1,1,1,1,1,1,1,20131010,20131223
19,1,0,0,1,1,1,0,20131010,20140111
20,0,1,0,0,1,1,1,20131011,20140112
21,1,1,1,1,1,1,1,20131101,20140113
22,1,0,0,1,1,1,1,20131101,20131223
23,1,0,0,1,1,1,1,20131101,20131223
24,1,1,1,1,1,1,1,20131101,20131230
25,0,1,0,0,0,0,0,20131224,20131231
26,0,0,1,0,0,0,0,20131225,20140101
27,1,1,0,1,1,1,1,20131226,20140107
28,1,1,1,1,1,1,1,20140108,20140731
29,1,0,1,1,1,1,1,20131225,20140106
30,1,1,1,1,1,1,1,20140107,20140731
31,0,0,0,0,1,0,0,20140117,20140516
32,0,0,0,0,1,0,1,20140518,20140727
33,0,0,0,0,0,1,0,20140118,20140517
34,1,0,0,0,0,1,0,20140519,20140728
35,1,0,0,0,1,1,1,20140117,20140414
36,1,1,1,1,1,1,1,20140415,20140505
37,1,0,0,0,1,1,1,20140509,20140526
38,1,1,1,1,1,1,1,20140527,20140623
39,1,0,0,0,1,1,1,20140627,20140728
40,1,0,1,1,1,1,1,20131225,20140106
41,1,0,0,1,1,1,1,20140109,20140414
42,1,1,1,1,1,1,1,20140415,20140505
43,1,0,0,1,1,1,1,20140508,20140519
44,1,1,1,1,1,1,1,20140520,20140731
45,1,1,0,1,1,1,1,20131224,20140106
46,1,0,0,1,1,1,1,20140109,20140414
47,1,1,1,1,1,1,1,20140415,20140505
48,1,0,0,1,1,1,1,20140508,20140519
49,1,1,1,1,1,1,1,20140520,20140731
50,1,1,1,1,1,1,1,20140101,20140112
51,0,0,0,1,1,1,1,20140116,20140413
52,1,1,1,1,1,1,1,20140414,20140504
53,0,0,0,1,1,1,1,20140508,20140525
54,1,1,1,1,1,1,1,20140526,20140622
55,0,0,0,1,1,1,1,20140626,20140731
56,1,1,1,1,1,1,1,20130328,20140930
57,1,0,0,1,1,1,1,20130328,20140929
58,1,1,1,1,1,1,1,20130328,20140930
59,1,1,1,1,1,1,1,20130328,20140930
60,1,0,0,1,1,1,1,20130328,20140929
61,1,1,1,1,1,1,1,20130328,20140930
62,1,1,1,1,0,1,1,20131001,20140417
63,1,0,0,1,0,1,1,20131003,20140414
64,1,1,1,1,0,1,1,20131001,20140531
65,1,0,0,1,0,1,1,20131003,20140414
66,0,0,0,0,1,0,0,20131004,20141128
67,0,0,0,0,1,0,0,20131004,20131129
68,1,1,1,1,0,1,1,20131001,20131205
69,0,0,0,0,1,0,0,20131004,20131227
70,0,0,0,0,1,0,0,20131004,20140530
71,1,1,1,1,0,1,1,20131001,20140531
72,0,0,0,0,1,0,0,20131004,20131129
73,0,0,0,0,1,0,0,20131004,20140530
74,0,1,1,0,0,0,0,20140603,20140827
75,0,0,0,0,1,1,0,20140606,20140830
76,0,0,0,0,1,1,0,20140606,20140830
77,1,0,0,0,0,0,0,20140602,20140825
78,0,1,1,1,0,0,1,20140601,20140622
79,0,0,0,0,0,0,1,20140601,20140831
80,0,0,0,0,1,1,0,20140606,20140830
81,1,1,1,1,0,0,1,20140601,20140623
82,0,1,1,0,0,0,0,20140603,20140827
83,1,1,1,1,0,0,0,20140602,20140623
84,0,1,1,0,0,0,0,20140603,20140827
85,0,0,0,0,1,1,0,20140606,20140830
86,0,0,0,0,1,1,0,20140606,20140830
87,0,1,1,1,0,0,1,20140601,20140622
88,1,1,1,1,0,0,0,20140602,20140623
89,0,0,0,0,0,0,1,20140601,20140831
90,0,0,0,0,1,1,0,20140606,20140830
91,1,1,1,1,0,0,1,20140601,20140623
92,0,1,1,0,0,0,0,20140603,20140827
93,1,0,0,0,0,0,0,20140602,20140825
94,1,1,1,1,1,1,1,20140418,20140508
95,1,1,1,1,0,1,1,20140510,20140531
96,1,1,1,1,0,1,1,20140415,20140505
97,1,0,0,1,0,1,1,20140508,20140526
98,0,1,1,1,0,1,0,20140527,20140531
99,1,1,1,1,0,1,1,20140415,20140505
100,1,0,0,1,0,1,1,20140508,20140526
101,0,1,1,1,0,1,0,20140527,20140531
102,1,0,0,1,1,1,1,20131130,20140605
103,1,0,0,1,0,1,1,20140607,20141201
104,1,1,1,1,1,1,1,20131206,20140116
105,1,1,1,1,0,1,1,20140118,20140531
106,1,1,0,1,1,0,0,20131230,20140103
107,0,0,0,0,1,0,0,20140110,20140530
108,0,0,0,1,0,0,0,20131205,20140109
109,0,0,0,0,1,0,0,20140117,20140530
110,0,0,0,1,0,0,1,20140626,20140831
111,1,0,0,1,0,0,1,20140626,20140707
112,1,1,1,1,0,0,1,20140708,20140825
113,0,0,0,1,0,0,1,20140828,20140831
114,1,0,0,1,0,0,0,20140626,20140828
115,0,0,0,1,0,0,1,20140626,20140831
116,1,0,0,1,0,0,0,20140626,20140828
117,1,0,0,1,0,0,1,20140626,20140707
118,1,1,1,1,0,0,1,20140708,20140825
119,0,0,0,1,0,0,1,20140828,20140831
120,1,1,1,0,0,1,0,20140602,20140830
121,0,0,0,0,1,0,1,20140525,20140727
122,0,0,0,1,1,0,1,20140601,20140831
123,0,0,0,1,1,0,1,20140601,20140608
124,1,1,1,0,0,1,0,20140531,20140830
125,0,0,0,1,0,0,0,20140529,20140724
126,0,0,0,1,1,0,1,20140601,20140831
127,0,0,0,1,1,0,1,20140601,20140608
128,1,0,0,1,1,0,1,20140609,20140615
129,0,0,1,1,1,0,1,20140618,20140622
130,0,0,0,1,1,0,1,20140626,20140831
131,1,0,0,1,1,0,1,20140609,20140615
132,0,0,1,1,1,0,1,20140618,20140622
133,0,0,0,1,1,0,1,20140626,20140831
134,1,1,1,1,1,1,1,20140606,20140831
135,1,1,1,1,1,1,1,20140606,20140831
136,0,0,0,0,1,0,1,20140608,20140627
137,0,0,0,1,0,1,0,20140607,20140626
138,1,0,0,0,1,1,1,20140628,20140831
139,0,0,0,1,1,1,1,20140627,20140831
140,1,1,1,1,1,1,1,20131201,20140113
141,1,1,1,1,0,0,0,20131202,20131223
142,1,1,1,1,1,1,1,20131004,20131201
143,1,1,1,1,1,1,1,20131130,20131224
144,1,1,1,1,0,0,0,20131202,20140109
145,1,1,1,1,1,1,1,20131003,20131130
146,0,0,0,0,1,1,1,20131201,20131222
147,1,1,1,1,1,1,1,20131130,20140112
148,1,1,1,1,0,0,0,20131202,20140109
149,0,0,0,0,1,1,1,20131201,20131222
150,1,1,1,1,1,1,1,20131201,20140113
151,1,1,1,1,0,0,0,20131202,20140109
152,0,0,0,0,1,1,1,20131201,20131222
153,1,1,1,1,0,1,0,20140113,20140830
154,0,0,0,0,1,0,1,20140117,20140831
155,1,1,1,1,0,1,0,20140113,20140830
156,0,0,0,0,1,0,1,20140117,20140831
157,1,1,1,1,0,1,0,20140113,20140830
158,0,0,0,0,1,0,1,20140117,20140831
159,1,1,1,1,0,1,0,20140113,20140830
160,0,0,0,0,1,0,1,20140117,20140831
161,1,0,1,1,0,0,0,20131225,20140106
162,0,1,1,1,0,0,0,20140107,20140109
163,0,0,0,0,1,1,1,20131206,20131222
164,0,0,1,1,1,1,1,20131225,20140101
165,0,0,0,0,1,1,1,20140103,20140112
166,1,1,0,1,1,1,1,20131226,20140107
167,0,0,1,1,1,1,1,20140108,20140112
168,0,0,1,1,1,1,1,20131225,20140101
169,0,0,0,0,1,1,1,20140103,20140112
170,0,0,1,1,1,1,1,20131225,20140101
171,0,0,0,0,1,1,1,20140103,20140112
172,0,0,1,1,1,1,1,20131225,20140101
173,0,0,0,0,1,1,1,20140103,20140112
174,1,1,1,1,1,1,1,20140601,20140831
175,0,0,0,0,1,1,1,20140502,20140608
176,0,0,0,1,0,0,0,20140508,20140828
177,0,0,0,0,1,1,1,20140502,20140615
178,1,0,0,0,0,0,0,20140505,20140825
179,1,1,1,1,1,1,1,20140601,20140831
180,1,0,0,0,1,1,1,20140609,20140615
181,0,0,0,0,1,1,1,20140620,20140831
182,0,0,0,1,1,1,1,20140619,20140622
183,0,0,0,0,1,1,1,20140627,20140831
184,1,1,0,0,1,1,1,20140404,20140831
185,1,0,0,1,1,1,1,20140404,20140831
186,0,0,1,1,0,0,0,20140403,20140828
187,0,1,1,0,0,0,0,20140408,20140827
188,1,1,1,1,1,1,1,20131017,20131223
189,1,1,1,1,1,1,1,20131017,20131027
190,1,1,1,1,1,1,1,20140113,20140531
191,1,1,1,1,1,1,1,20140113,20140531
192,1,1,1,1,1,1,1,20140601,20140831
193,1,1,1,1,1,1,1,20140601,20140831
194,1,0,0,1,1,1,1,20131226,20140106
195,0,1,1,1,1,1,1,20140107,20140112
196,1,1,1,1,1,1,1,20131029,20131104
197,1,0,1,1,1,1,1,20131106,20140112
198,1,0,0,1,0,0,1,20140323,20140526
199,0,0,0,0,1,1,0,20140321,20140830
200,0,0,0,1,0,0,1,20140323,20140831
201,0,0,0,0,1,0,0,20140321,20140829
202,0,0,0,0,0,0,1,20140323,20140831
203,1,0,0,0,1,1,0,20140321,20140830
204,1,0,0,1,0,0,1,20140323,20140526
205,0,0,0,0,1,0,0,20140321,20140829
206,1,0,1,1,0,0,1,20140528,20140602
207,1,1,1,1,0,0,1,20140605,20140616
208,1,0,1,1,0,0,1,20140618,20140623
209,1,0,0,1,0,0,1,20140626,20140707
210,1,1,1,1,0,0,1,20140708,20140831
211,0,1,1,0,0,0,0,20140902,20140910
212,1,0,1,1,0,0,1,20140528,20140602
213,1,1,1,1,0,0,1,20140605,20140616
214,1,0,1,1,0,0,1,20140618,20140623
215,1,0,0,1,0,0,1,20140626,20140707
216,1,1,1,1,0,0,1,20140708,20140831
217,0,1,1,0,0,0,0,20140902,20140910
218,1,1,1,1,1,1,1,20140601,20140831
219,1,1,1,1,1,1,1,20130328,20140930
220,1,1,1,1,1,1,1,20131010,20140531
221,1,1,1,1,1,1,1,20140601,20140831
222,1,1,1,1,1,1,1,20140601,20140831
223,1,1,1,1,1,1,1,20130328,20140531
224,1,1,1,1,1,1,1,20131010,20140531
225,1,1,1,1,1,1,1,20140601,20140831
226,1,1,1,1,1,1,1,20130328,20131230
227,1,1,1,1,1,1,1,20131010,20140531
228,1,1,1,1,1,1,1,20140601,20140831
229,1,1,1,1,1,1,1,20140601,20140831
230,1,1,1,1,1,1,1,20130328,20131224
231,1,1,1,1,1,1,1,20131010,20140831
232,1,1,1,1,1,1,1,20140601,20140831
233,1,1,1,1,1,1,1,20130328,20140531
234,1,1,1,1,1,1,1,20140601,20140831
235,1,1,1,1,1,1,1,20130910,20140531
236,1,1,1,1,1,1,1,20140601,20140831
237,1,1,1,1,1,1,1,20130328,20131230
238,1,1,1,1,1,1,1,20131010,20140531
239,1,1,1,1,1,1,1,20140601,20140831
240,1,1,1,1,1,1,1,20140101,20140831
241,1,1,1,1,1,1,1,20131226,20140531
242,1,1,1,1,1,1,1,20140101,20140531
243,1,0,0,0,1,0,0,20131220,20140602
244,1,1,1,1,1,1,1,20131216,20140202
245,1,1,1,1,1,1,1,20131217,20140203
246,1,1,1,1,1,1,1,20140603,20140623
247,1,1,1,1,1,1,1,20140604,20140624
248,1,1,1,0,1,1,1,20140603,20140720
249,0,0,0,1,0,0,0,20140605,20140717
250,1,0,0,0,0,0,0,20140609,20140714
251,0,1,1,1,1,1,1,20140603,20140720
252,1,1,1,1,1,1,1,20140603,20140623
253,1,1,1,1,1,1,1,20140603,20140624
254,0,0,0,1,0,1,0,20140612,20140703
255,0,0,0,0,1,0,1,20140613,20140629
256,0,0,0,1,1,1,1,20140206,20140720
257,1,0,0,0,1,1,1,20140207,20140720
258,1,0,1,1,1,1,1,20140625,20140831
259,1,1,0,1,1,1,1,20140626,20140831
260,1,0,1,1,1,1,1,20140625,20140831
261,1,1,0,1,1,1,1,20140626,20140831
262,0,0,0,1,1,1,1,20140704,20140720
263,0,0,0,1,1,1,1,20140703,20140720
264,1,1,1,1,1,1,1,20140113,20140831
265,1,1,1,1,1,1,1,20130501,20140112
266,1,0,0,1,1,1,1,20140113,20140414
267,1,1,1,1,1,1,1,20130501,20131202
268,1,1,1,1,1,1,1,20140113,20140831
269,1,1,1,1,1,1,1,20130501,20130905
270,1,1,1,1,1,1,1,20130910,20140112
271,1,0,0,1,1,1,1,20130113,20140414
272,1,1,1,1,1,1,1,20130501,20130904
273,1,0,0,1,1,1,1,20130905,20130909
274,1,0,0,1,1,1,1,20130905,20130909
275,1,0,0,1,1,1,1,20130905,20130909
276,1,0,0,1,1,1,1,20130905,20130909
277,1,1,1,1,1,1,1,20140415,20140505
278,1,0,0,1,1,1,1,20140508,20140831
279,1,0,1,1,1,1,1,20131204,20140112
280,0,0,1,1,0,0,0,20130911,20130926
281,1,1,1,1,1,1,1,20140415,20140505
282,1,0,0,1,1,1,1,20140508,20140831
283,1,1,1,1,1,1,1,20130910,20131202
284,1,0,1,1,1,1,1,20131204,20140112
285,1,1,1,1,1,1,1,20130823,20131224
286,1,1,1,1,1,1,1,20130823,20131230
287,1,1,1,1,1,1,1,20130823,20131224
288,1,1,1,1,1,1,1,20130823,20131230
289,1,1,1,1,1,1,1,20131226,20140113
290,1,0,0,0,1,1,1,20140117,20140303
291,1,1,1,1,1,1,1,20140304,20140310
292,1,0,0,0,1,1,1,20140314,20140414
293,1,1,1,1,1,1,1,20140415,20140505
294,1,0,0,0,1,1,1,20140509,20140526
295,1,1,1,1,1,1,1,20140527,20140623
296,1,0,0,0,1,1,1,20140627,20140707
297,1,1,1,1,1,1,1,20140708,20140831
298,0,1,1,1,0,0,0,20140902,20140911
299,1,1,1,1,1,1,1,20140101,20140117
300,1,1,1,1,1,0,1,20140119,20140418
301,1,1,1,1,1,1,1,20140419,20140509
302,1,1,1,1,1,0,1,20140511,20140530
303,1,1,1,1,1,1,1,20140531,20140627
304,1,1,1,1,1,0,1,20140629,20140711
305,1,1,1,1,1,1,1,20140712,20140831
306,0,0,0,0,0,1,0,20140906,20140913
307,1,1,1,1,1,1,1,20131226,20140831
308,1,1,1,1,1,1,1,20140101,20140112
309,0,0,0,1,1,0,1,20140116,20140302
310,1,1,1,1,1,0,1,20140303,20140309
311,0,0,0,1,1,0,1,20140313,20140413
312,1,1,1,1,1,1,1,20140414,20140504
313,0,0,0,1,1,0,1,20140508,20140523
314,1,1,1,1,1,1,1,20140524,20140622
315,0,0,0,1,1,0,1,20140626,20140706
316,1,1,1,1,1,1,1,20140707,20140903
317,1,1,1,0,0,1,0,20140906,20140913
318,1,1,1,1,1,1,1,20131010,20131130
319,1,1,1,1,1,1,1,20131114,20131130
320,1,1,1,1,1,1,1,20131115,20131130
321,1,1,1,1,1,1,1,20131010,20131130
322,1,1,1,1,1,1,1,20131201,20140113
323,1,1,1,1,1,1,1,20131201,20140117
324,1,1,1,1,1,1,1,20131201,20140831
325,1,1,1,1,1,1,1,20131201,20140112
326,0,0,0,1,0,0,1,20140626,20140831
327,0,0,0,1,1,1,1,20140626,20140831
328,0,0,0,0,0,1,1,20140628,20140831
329,1,0,0,0,1,1,1,20140117,20140303
330,1,1,1,1,1,1,1,20140304,20140310
331,1,0,0,0,1,1,1,20140314,20140421
332,1,1,1,1,1,1,1,20140422,20140505
333,1,0,0,0,1,1,1,20140509,20140526
334,1,1,1,1,1,1,1,20140527,20140623
335,1,0,0,0,1,1,1,20140627,20140831
336,1,1,1,1,1,0,1,20140119,20140411
337,1,1,1,1,1,1,1,20140412,20140509
338,1,1,1,1,1,0,1,20140511,20140530
339,1,1,1,1,1,1,1,20140531,20140801
340,1,1,1,1,1,0,1,20140803,20140831
341,0,0,0,1,1,0,1,20140116,20140302
342,1,1,1,1,1,0,1,20140303,20140309
343,0,0,0,1,1,0,1,20140313,20140420
344,1,1,1,1,1,1,1,20140421,20140504
345,0,0,0,1,1,0,1,20140508,20140525
346,1,1,1,1,1,1,1,20140526,20140622
347,0,0,0,1,1,0,1,20140626,20140831
348,1,1,1,1,1,1,1,20140601,20140623
349,0,0,0,0,0,0,1,20140601,20140601
350,1,1,1,1,1,1,1,20140601,20140831
351,0,0,0,0,1,0,1,20140601,20140606
352,1,1,1,1,1,1,1,20140601,20140623
353,0,0,0,0,1,0,1,20140601,20140606
354,1,1,1,1,1,1,1,20140601,20140831
355,1,1,1,1,1,1,1,20140601,20140831
356,0,0,0,0,0,0,1,20140601,20140601
357,1,1,1,1,1,1,1,20140601,20140623
358,0,0,0,0,1,0,1,20140601,20140606
359,1,1,1,1,1,1,1,20140601,20140831
360,0,0,0,0,1,0,1,20140601,20140606
361,1,1,1,1,1,1,1,20140601,20140623
362,1,0,0,1,1,1,1,20140626,20140831
363,1,0,0,0,1,0,1,20140609,20140615
364,0,0,0,0,0,0,1,20140622,20140629
365,1,0,0,0,1,0,1,20140609,20140615
366,0,0,0,0,1,0,1,20140620,20140629
367,1,0,0,1,1,1,1,20140626,20140831
368,1,0,0,0,1,0,0,20140609,20140613
369,0,0,0,0,1,0,1,20140620,20140629
370,0,0,0,0,0,0,1,20140706,20140706
371,1,0,0,0,1,0,1,20140609,20140615
372,0,0,0,0,1,0,1,20140620,20140629
373,1,0,0,1,1,1,1,20140626,20140831
374,1,0,0,0,1,0,1,20140609,20140615
375,0,0,0,0,1,0,1,20140620,20140629
376,0,0,0,0,0,0,1,20140706,20140706
377,1,0,0,0,0,0,0,20140609,20140609
378,0,0,0,0,0,0,1,20140622,20140629
379,1,0,0,1,1,1,1,20140626,20140831
380,0,0,0,0,1,1,0,20140228,20140614
381,1,1,1,1,0,0,0,20140227,20140619
382,0,0,0,0,1,1,1,20140228,20140615
383,0,0,0,1,0,0,0,20140227,20140612
384,0,0,0,0,1,1,1,20140228,20140615
385,0,0,0,0,0,0,1,20140302,20140615
386,1,1,1,0,0,0,0,20140303,20140611
387,0,0,0,1,0,0,0,20140306,20140612
388,0,0,0,0,1,1,0,20140228,20140614
389,1,1,1,1,0,0,0,20140227,20140612
390,0,0,0,0,1,1,1,20140228,20140615
391,1,1,1,1,1,1,1,20140227,20140615
392,1,1,1,1,1,1,1,20140616,20140831
393,1,1,1,1,1,1,1,20140616,20140831
394,1,1,1,1,1,1,1,20140617,20140831
395,1,1,1,1,1,1,1,20140620,20140831
396,0,0,0,0,1,1,1,20140712,20140810
397,0,0,0,0,1,1,1,20140712,20140810
398,1,1,1,1,1,1,0,20140313,20140503
399,0,0,0,0,0,0,1,20140316,20140831
400,1,1,1,1,1,1,0,20140313,20140830
401,0,0,0,0,0,0,1,20140316,20140831
402,1,1,1,1,1,1,0,20140313,20140503
403,0,0,0,0,0,0,1,20140316,20140831
404,1,1,1,1,1,1,0,20140313,20140830
405,0,0,0,0,0,0,1,20140316,20140831
406,1,1,1,1,1,1,1,20140504,20140510
407,1,1,1,1,1,1,0,20140512,20140830
408,1,1,1,1,1,1,1,20140504,20140510
409,1,1,1,1,1,1,0,20140512,20140830
410,1,0,0,1,1,1,1,20140113,20140414
411,1,1,1,1,1,1,1,20130122,20140112
412,1,0,0,1,1,1,1,20140113,20140316
413,1,1,1,1,1,1,1,20130228,20140121
414,1,1,1,1,1,1,1,20130122,20130331
415,1,1,1,1,1,1,1,20130228,20140112
416,0,1,1,0,0,0,0,20140610,20140618
417,1,1,1,1,1,1,1,20130122,20140112
418,1,0,0,1,1,1,1,20140113,20140414
419,1,0,0,1,1,1,1,20140113,20140316
420,1,0,0,1,1,1,1,20140317,20140414
421,1,1,1,1,1,1,1,20140415,20140505
422,1,0,0,1,1,1,1,20140508,20140609
423,1,1,1,1,1,1,1,20140610,20140623
424,1,0,0,1,1,1,1,20140626,20140831
425,0,1,1,0,0,0,0,20140610,20140618
426,1,0,0,1,1,1,1,20140317,20140414
427,1,1,1,1,1,1,1,20140415,20140505
428,1,0,0,1,1,1,1,20140508,20140609
429,1,1,1,1,1,1,1,20140610,20140623
430,1,0,0,1,1,1,1,20140626,20140831
431,0,0,0,0,1,1,1,20140411,20140413
432,0,1,1,0,0,0,0,20140610,20140618
433,0,1,1,0,0,0,0,20140610,20140618
434,1,1,1,1,1,1,1,20140415,20140505
435,1,0,0,1,1,1,1,20140508,20140831
436,1,1,1,1,1,1,1,20140415,20140505
437,1,0,0,1,1,1,1,20140508,20140831
438,1,1,1,1,1,1,1,20131031,20140831
439,1,1,1,1,1,1,1,20131031,20140831
440,1,1,1,1,1,1,1,20131031,20140831
441,1,1,1,1,1,1,1,20131031,20140831
442,1,1,1,1,1,1,1,20140114,20140331
443,1,1,1,1,1,1,1,20140113,20140331
444,1,1,1,1,1,1,1,20140601,20140831
445,1,1,1,1,1,1,1,20140401,20140531
446,1,1,1,1,1,0,0,20140602,20140829
447,1,1,1,1,1,0,0,20140401,20140530
448,0,0,0,0,0,1,1,20140601,20140831
449,0,0,0,0,0,1,1,20140405,20140531
450,1,0,0,1,1,1,1,20140601,20140831
451,1,0,0,1,1,1,1,20140601,20140831
452,1,1,1,1,1,0,0,20140414,20140829
453,0,0,0,0,0,1,1,20140419,20140831
454,1,1,1,1,1,0,0,20140414,20140829
455,0,0,0,0,0,1,1,20140419,20140831
456,1,0,0,1,1,1,1,20140403,20140526
457,1,1,0,0,1,1,1,20140401,20140527
458,1,1,1,1,1,1,1,20140527,20140602
459,1,1,1,1,1,1,1,20140605,20140616
460,1,0,0,1,1,1,1,20140619,20140831
461,1,1,1,1,1,1,1,20140528,20140603
462,1,1,1,1,1,1,1,20140606,20140617
463,1,1,0,0,1,1,1,20140620,20140831
464,1,1,1,1,1,1,1,20140601,20140831
465,1,1,1,1,1,1,1,20140601,20140831
466,1,1,1,1,1,1,1,20140601,20140831
467,1,1,1,1,1,1,1,20140601,20140831
468,1,1,1,1,1,1,1,20140601,20140831
469,1,1,1,1,1,1,1,20140601,20140831
470,1,0,0,1,1,1,1,20131025,20140112
471,1,0,0,1,1,1,1,20131024,20131202
472,1,1,1,1,1,1,1,20131024,20131203
473,1,0,1,1,1,1,1,20131024,20140112
474,1,0,0,1,1,1,1,20140113,20140414
475,1,1,0,0,1,1,1,20140113,20140415
476,0,0,1,0,0,0,0,20140115,20140827
477,1,1,0,0,1,1,1,20140113,20140415
478,1,0,1,1,1,1,1,20140113,20140414
479,1,0,1,1,1,1,1,20131204,20140112
480,1,1,0,1,1,1,1,20131205,20140112
481,1,1,1,1,1,1,1,20140415,20140505
482,1,0,0,1,1,1,1,20140508,20140526
483,1,1,1,1,1,1,1,20140527,20140602
484,1,1,1,1,1,1,1,20140605,20140623
485,1,0,0,1,1,1,1,20140626,20140707
486,1,1,1,1,1,1,1,20140708,20140831
487,1,1,1,1,1,1,1,20140416,20140506
488,1,1,0,0,1,1,1,20140509,20140527
