"route_id","agency_id","route_short_name","route_long_name","route_type"
1,"FlixBus","FB11","FlixBus Linie 11",3
2,"FlixBus","FB12","FlixBus Linie 12",3
3,"FlixBus","FB13","FlixBus Linie 13",3
4,"FlixBus","FB14","FlixBus Linie 14",3
5,"FlixBus","FB15","FlixBus Linie 15",3
6,"FlixBus","FB16","FlixBus Linie 16",3
7,"FlixBus","FB17","FlixBus Linie 17",3
8,"FlixBus","FB19","FlixBus Linie 19",3
9,"FlixBus","FB20","FlixBus Linie 20",3
10,"FlixBus","FB21","FlixBus Linie 21",3
11,"FlixBus","FB22","FlixBus Linie 22",3
12,"FlixBus","FB24","FlixBus Linie 24",3
13,"FlixBus","FB25","FlixBus Linie 25",3
14,"FlixBus","FB26","FlixBus Linie 26",3
15,"FlixBus","FB27","FlixBus Linie 27",3
16,"FlixBus","FB28","FlixBus Linie 28",3
17,"FlixBus","FB34","FlixBus Linie 34",3
18,"FlixBus","FB35","FlixBus Linie 35",3
19,"FlixBus","FB36","FlixBus Linie 36",3
20,"FlixBus","FB37","FlixBus Linie 37",3
21,"FlixBus","FB39","FlixBus Linie 39",3
22,"FlixBus","FB40","FlixBus Linie 40",3
23,"FlixBus","FB41","FlixBus Linie 41",3
24,"FlixBus","FB43","FlixBus Linie 43",3
25,"FlixBus","FB45","FlixBus Linie 45",3
26,"FlixBus","FB49","FlixBus Linie 49",3
27,"FlixBus","FB51","FlixBus Linie 51",3
28,"FlixBus","FB52","FlixBus Linie 52",3
29,"FlixBus","FB53","FlixBus Linie 53",3
30,"FlixBus","FB56","FlixBus Linie 56",3
31,"FlixBus","FB57","FlixBus Linie 57",3
32,"FlixBus","FB60","FlixBus Linie 60",3
33,"FlixBus","FB61","FlixBus Linie 61",3
34,"FlixBus","FB62","FlixBus Linie 62",3
35,"FlixBus","FB63","FlixBus Linie 63",3
36,"FlixBus","FB64","FlixBus Linie 64",3
37,"FlixBus","FB67","FlixBus Linie 67",3
38,"FlixBus","FB68","FlixBus Linie 68",3
39,"FlixBus","FB69","FlixBus Linie 69",3
40,"FlixBus","FB70","FlixBus Linie 70",3
41,"FlixBus","FB71","FlixBus Linie 71",3
42,"FlixBus","FB72","FlixBus Linie 72",3
43,"FlixBus","FB73","FlixBus Linie 73",3
44,"FlixBus","FB74","FlixBus Linie 74",3
45,"FlixBus","FB75","FlixBus Linie 75",3
46,"FlixBus","FB78","FlixBus Linie 78",3
47,"FlixBus","FB80","FlixBus Linie 80",3
48,"FlixBus","FB81","FlixBus Linie 81",3
49,"FlixBus","FB85","FlixBus Linie 85",3
50,"FlixBus","FB88","FlixBus Linie 88",3
51,"FlixBus","FB91","FlixBus Linie 91",3
52,"FlixBus","FB93","FlixBus Linie 93",3
53,"FlixBus","FB96","FlixBus Linie 96",3
