"trip_id","stop_id","arrival_time","departure_time","stop_sequence"
1,53,"09:45:00","09:45:00",1
1,57,"11:55:00","12:00:00",2
1,19,"15:35:00","15:40:00",3
1,25,"16:25:00","16:30:00",4
1,71,"17:35:00","17:40:00",5
1,11,"19:00:00","19:05:00",6
1,56,"20:05:00","20:05:00",7
2,56,"12:20:00","12:20:00",1
2,11,"13:20:00","13:25:00",2
2,71,"14:45:00","14:50:00",3
2,25,"15:55:00","16:00:00",4
2,19,"16:45:00","17:00:00",5
2,57,"20:35:00","20:40:00",6
2,53,"22:50:00","22:50:00",7
3,53,"09:45:00","09:45:00",1
3,57,"11:55:00","12:00:00",2
3,19,"15:35:00","15:40:00",3
3,25,"16:25:00","16:30:00",4
3,71,"17:35:00","17:40:00",5
3,11,"19:00:00","19:05:00",6
3,56,"20:05:00","20:05:00",7
4,53,"09:45:00","09:45:00",1
4,57,"11:55:00","12:00:00",2
4,19,"15:35:00","15:40:00",3
4,25,"16:25:00","16:30:00",4
4,71,"17:35:00","17:40:00",5
4,11,"19:00:00","19:05:00",6
4,56,"20:05:00","20:05:00",7
5,53,"09:45:00","09:45:00",1
5,57,"11:55:00","12:00:00",2
5,19,"15:35:00","15:40:00",3
5,25,"16:25:00","16:30:00",4
5,71,"17:35:00","17:40:00",5
5,11,"19:00:00","19:05:00",6
5,56,"20:05:00","20:05:00",7
6,53,"09:45:00","09:45:00",1
6,57,"11:55:00","12:00:00",2
6,19,"15:35:00","15:40:00",3
6,25,"16:25:00","16:30:00",4
6,71,"17:35:00","17:40:00",5
6,11,"19:00:00","19:05:00",6
6,56,"20:05:00","20:05:00",7
7,53,"09:45:00","09:45:00",1
7,57,"11:55:00","12:00:00",2
7,19,"15:35:00","15:40:00",3
7,25,"16:25:00","16:30:00",4
7,71,"17:35:00","17:40:00",5
7,11,"19:00:00","19:05:00",6
7,56,"20:05:00","20:05:00",7
8,53,"09:45:00","09:45:00",1
8,57,"11:55:00","12:00:00",2
8,19,"15:35:00","15:40:00",3
8,25,"16:25:00","16:30:00",4
8,71,"17:35:00","17:40:00",5
8,11,"19:00:00","19:05:00",6
8,56,"20:05:00","20:05:00",7
