"stop_id","stop_name","stop_lat","stop_lon"
1,"Aachen",50.785539,6.136524
2,"Alsfeld",50.732063,9.241610
86,"Amberg",49.448444,11.854075
97,"Amstetten",48.121815,14.878154
83,"Apen/Remels, Autohof",53.263005,7.754803
144,"Aschaffenburg",49.977745,9.149525
94,"Attnang-Puchheim",48.012714,13.720969
3,"Augsburg",48.401692,10.876915
138,"Bad Oeynhausen",52.205256,8.799212
4,"Bamberg",49.899289,10.899776
5,"Bayreuth",49.951234,11.578032
6,"Berlin",52.507589,13.279788
116,"Berlin Südkreuz",52.476197,13.364377
120,"Bielefeld",51.997836,8.499628
7,"Bochum",51.479315,7.224948
8,"Bonn",50.734751,7.088947
93,"Braunschweig",52.251080,10.536521
9,"Bremen",53.082029,8.810772
900,"Bremen Flughafen",53.054006,8.781767
129,"Bremerhaven",53.536707,8.599862
10,"Chemnitz",50.840317,12.926488
139,"Darmstadt",49.870737,8.628689
148,"Detmold",51.940323,8.872586
11,"Dortmund",51.519506,7.458947
12,"Dresden",51.039418,13.731786
92,"Duisburg",51.429623,6.772230
13,"Düsseldorf",51.223184,6.795504
14,"Erfurt",50.973744,11.039994
15,"Erlangen",49.596554,11.000209
16,"Essen",51.450221,7.014433
19,"Frankfurt",50.105105,8.662397
20,"Frankfurt Flughafen",50.052523,8.577350
22,"Freiburg",47.996590,7.841229
23,"Friedrichshafen Hafen",47.651805,9.482869
24,"Fulda",50.555891,9.666109
25,"Gießen",50.581057,8.666410
26,"Göttingen",51.534017,9.926512
27,"Groningen",53.211629,6.568022
121,"Hagen",51.384315,7.480601
21,"Hahn Flughafen",49.946788,7.270911
28,"Halle",51.477671,11.984437
29,"Hamburg",53.552129,10.011141
147,"Hameln",52.101287,9.373546
140,"Hamm",51.676469,7.806398
30,"Hannover",52.379345,9.741311
85,"Heidelberg",49.403778,8.676758
104,"Heidelberg (Airport Shuttle)",49.403778,8.676758
31,"Heilbronn",49.141578,9.205382
146,"Hildesheim",52.149781,9.955619
32,"Ingolstadt",48.744681,11.436290
126,"Jena",50.925479,11.587426
34,"Kaiserslautern",49.436540,7.769216
35,"Karlsruhe",48.991718,8.401440
36,"Kassel",51.290664,9.564580
37,"Kiel",54.316833,10.133594
38,"Koblenz",50.349212,7.589675
39,"Köln",50.942649,6.960247
111,"Konstanz",47.658250,9.169033
131,"Krefeld",51.324339,6.569223
41,"Leipzig",51.342482,12.381247
123,"Leverkusen",51.032051,6.991004
96,"Linz",48.290846,14.291452
44,"Lübeck",53.866001,10.670535
47,"Magdeburg",52.131369,11.624531
48,"Mainz",50.004134,8.256950
49,"Mannheim",49.478219,8.472465
119,"Marburg",50.817417,8.774317
51,"Memmingen Flughafen",47.989731,10.232482
130,"Mönchengladbach",51.198291,6.446891
142,"Mülheim an der Ruhr",51.430518,6.887103
141,"Münchberg",50.203335,11.777456
53,"München",48.142451,11.549807
56,"Münster",51.956168,7.637292
57,"Nürnberg",49.447702,11.085387
132,"Oberhausen",51.473805,6.851938
59,"Oldenburg Hbf/ZOB",53.145271,8.222215
5900,"Oldenburg Universität",53.148624,8.182054
590,"Oldenburg, Pferdemarkt",53.146416,8.216730
60,"Osnabrück",52.273726,8.057973
137,"Paderborn",52.155565,10.326654
61,"Passau",48.574258,13.451978
125,"Ravensburg",47.783290,9.606013
133,"Recklinghausen",51.617629,7.203693
64,"Regensburg",49.012531,12.097519
102,"Reutlingen",48.496282,9.211161
65,"Rostock",54.076167,12.130557
109,"Rostock Fährterminal",54.143861,12.101932
106,"Rothenburg odT",49.377235,10.191034
67,"Saarbrücken",4.924181,7.000252
101,"Salzburg Flughafen",47.792496,12.995753
68,"Salzburg Hbf/Lastenstr.",47.813961,13.047906
145,"Salzgitter",52.153664,10.328575
69,"Schwabach",49.325723,11.034329
105,"Schweinfurt",50.036063,10.211080
71,"Siegen",50.871936,8.016035
112,"Singen",47.764702,8.851794
72,"St. Gallen",47.424407,9.371231
98,"St. Pölten",48.207934,15.624651
84,"Straßburg",48.584483,7.734591
74,"Stuttgart Flughafen/Messe",48.694380,9.193025
77,"Tübingen",48.517109,9.056435
78,"Ulm",48.425888,10.010355
110,"Villingen-Schwenningen",48.064103,8.538420
95,"Wels ",48.166357,14.027027
99,"Wien Hütteldorf",48.197118,16.260805
100,"Wien Westbahnhof",48.196904,16.338151
136,"Wiesbaden",50.070775,8.246150
113,"Wilhelmshaven",53.519700,8.120333
134,"Wismar",53.897283,11.465177
122,"Wuppertal",51.274987,7.224414
80,"Würzburg",49.801303,9.932420
81,"Zürich",47.381078,8.537289
128,"Zwickau",50.714954,12.476468
