"route_id","service_id","trip_id","trip_headsign","direction_id"
1,1,1,"Münster",0
1,2,2,"München",1
1,3,3,"Münster",0
1,4,4,"Münster",0
1,5,5,"Münster",0
1,6,6,"Münster",0
1,7,7,"Münster",0
1,8,8,"Münster",0
1,9,9,"Münster",0
1,10,10,"München",1
1,11,11,"München",1
1,12,12,"München",1
1,13,13,"München",1
1,14,14,"München",1
1,15,15,"München",1
1,16,16,"München",1
2,17,17,"Hamburg",1
2,18,18,"Karlsruhe",0
2,19,19,"Hannover",0
2,20,20,"Hamburg",1
2,21,21,"Frankfurt",0
2,22,22,"Frankfurt",0
2,23,23,"Hamburg",1
2,24,24,"Hamburg",1
2,25,25,"Frankfurt",0
2,26,26,"Hamburg",1
2,27,27,"Hamburg",1
2,28,28,"Hamburg",1
2,29,29,"Karlsruhe",0
2,30,30,"Karlsruhe",0
2,31,31,"Hannover",0
2,32,32,"Hannover",0
2,33,33,"Hamburg",1
2,34,34,"Hamburg",1
2,35,35,"Frankfurt",0
2,36,36,"Frankfurt",0
2,37,37,"Frankfurt",0
2,38,38,"Frankfurt",0
2,39,39,"Frankfurt",0
2,40,40,"Frankfurt",0
2,41,41,"Frankfurt",0
2,42,42,"Frankfurt",0
2,43,43,"Frankfurt",0
2,44,44,"Frankfurt",0
2,45,45,"Hamburg",1
2,46,46,"Hamburg",1
2,47,47,"Hamburg",1
2,48,48,"Hamburg",1
2,49,49,"Hamburg",1
2,50,50,"Hamburg",1
2,51,51,"Hamburg",1
2,52,52,"Hamburg",1
2,53,53,"Hamburg",1
2,54,54,"Hamburg",1
2,55,55,"Hamburg",1
3,56,56,"Köln",0
3,57,57,"Köln",0
3,58,58,"Köln",0
3,59,59,"Hamburg",1
3,60,60,"Hamburg",1
3,61,61,"Hamburg",1
3,62,62,"Köln",0
3,63,63,"Köln",0
3,64,64,"Hamburg",1
3,65,65,"Hamburg",1
3,66,66,"Köln",0
3,67,67,"Köln",0
3,68,68,"Köln",0
3,69,69,"Hamburg",1
3,70,70,"Hamburg",1
3,71,71,"Hamburg",1
3,72,72,"Köln",0
3,73,73,"Hamburg",1
3,74,74,"Köln",0
3,75,75,"Köln",0
3,76,76,"Köln",0
3,77,77,"Köln",0
3,78,78,"Köln",0
3,79,79,"Köln",0
3,80,80,"Köln",0
3,81,81,"Köln",0
3,82,82,"Köln",0
3,83,83,"Köln",0
3,84,84,"Hamburg",1
3,85,85,"Hamburg",1
3,86,86,"Hamburg",1
3,87,87,"Hamburg",1
3,88,88,"Hamburg",1
3,89,89,"Hamburg",1
3,90,90,"Hamburg",1
3,91,91,"Hamburg",1
3,92,92,"Hamburg",1
3,93,93,"Hamburg",1
3,94,94,"Köln",0
3,95,95,"Köln",0
3,96,96,"Köln",0
3,97,97,"Köln",0
3,98,98,"Köln",0
3,99,99,"Hamburg",1
3,100,100,"Hamburg",1
3,101,101,"Hamburg",1
3,102,102,"Köln",0
3,103,103,"Köln",0
3,104,104,"Köln",0
3,105,105,"Köln",0
3,106,106,"Hamburg",1
3,107,107,"Hamburg",1
3,108,108,"Köln",0
3,109,109,"Köln",0
3,110,110,"Köln",0
3,111,111,"Köln",0
3,112,112,"Köln",0
3,113,113,"Köln",0
3,114,114,"Köln",0
3,115,115,"Hamburg",1
3,116,116,"Hamburg",1
3,117,117,"Hamburg",1
3,118,118,"Hamburg",1
3,119,119,"Hamburg",1
4,120,120,"Münster",0
4,121,121,"Münster",0
4,122,122,"Münster",0
4,123,123,"Münster",0
4,124,124,"Berlin",1
4,125,125,"Berlin",1
4,126,126,"Berlin",1
4,127,127,"Berlin",1
4,128,128,"Münster",0
4,129,129,"Münster",0
4,130,130,"Münster",0
4,131,131,"Berlin",1
4,132,132,"Berlin",1
4,133,133,"Berlin",1
5,134,134,"Dresden",0
5,135,135,"Hamburg",1
5,136,136,"Dresden",0
5,137,137,"Hamburg",0
5,138,138,"Dresden",0
5,139,139,"Hamburg",0
6,140,140,"Köln",0
6,141,141,"Köln",0
6,142,142,"Köln",0
6,143,143,"Berlin",1
6,144,144,"Berlin",1
6,145,145,"Berlin",1
6,146,146,"Berlin",1
6,147,147,"Köln",0
6,148,148,"Köln",0
6,149,149,"Köln",0
6,150,150,"Dortmund",1
6,151,151,"Dortmund",1
6,152,152,"Dortmund",1
6,153,153,"Köln",0
6,154,154,"Köln",0
6,155,155,"Berlin",1
6,156,156,"Berlin",1
6,157,157,"Köln",0
6,158,158,"Köln",0
6,159,159,"Dortmund",1
6,160,160,"Dortmund",1
6,161,161,"Köln",0
6,162,162,"Köln",0
6,163,163,"Köln",0
6,164,164,"Köln",0
6,165,165,"Köln",0
6,166,166,"Berlin",1
6,167,167,"Berlin",1
6,168,168,"Berlin",1
6,169,169,"Berlin",1
6,170,170,"Köln",0
6,171,171,"Köln",0
6,172,172,"Dortmund",1
6,173,173,"Dortmund",1
7,174,174,"Dresden",0
7,175,175,"Dresden",0
7,176,176,"Dresden",0
7,177,177,"Frankfurt",1
7,178,178,"Mainz",1
7,179,179,"Mainz",1
7,180,180,"Dresden",0
7,181,181,"Dresden",0
7,182,182,"Frankfurt",1
7,183,183,"Frankfurt",1
8,184,184,"Rostock Fährterminal",0
8,185,185,"Aachen",1
8,186,186,"Rostock Fährterminal",0
8,187,187,"Münster",1
9,188,188,"Hamburg",0
9,189,189,"München",1
9,190,190,"Hamburg",0
9,191,191,"München",1
9,192,192,"Hamburg",0
9,193,193,"München",1
9,194,194,"Hamburg",0
9,195,195,"Hamburg",0
9,196,196,"München",1
9,197,197,"München",1
10,198,198,"Köln",0
10,199,199,"Köln",0
10,200,200,"Köln",0
10,201,201,"Köln",0
10,202,202,"Hamburg",1
10,203,203,"Hamburg",1
10,204,204,"Hamburg",1
10,205,205,"Hamburg",1
10,206,206,"Köln",0
10,207,207,"Köln",0
10,208,208,"Köln",0
10,209,209,"Köln",0
10,210,210,"Köln",0
10,211,211,"Köln",0
10,212,212,"Hamburg",1
10,213,213,"Hamburg",1
10,214,214,"Hamburg",1
10,215,215,"Hamburg",1
10,216,216,"Hamburg",1
10,217,217,"Hamburg",1
11,218,218,"Berlin",0
11,219,219,"Berlin",0
11,220,220,"Berlin",0
11,221,221,"Berlin",0
11,222,222,"Berlin",0
11,223,223,"Berlin",0
11,224,224,"Berlin",0
11,225,225,"Berlin",0
11,226,226,"Berlin",0
11,227,227,"Berlin",0
11,228,228,"Berlin",0
11,229,229,"Hamburg",1
11,230,230,"Hamburg",1
11,231,231,"Hamburg",1
11,232,232,"Hamburg",1
11,233,233,"Hamburg",1
11,234,234,"Hamburg",1
11,235,235,"Hamburg",1
11,236,236,"Hamburg",1
11,237,237,"Hamburg",1
11,238,238,"Hamburg",1
11,239,239,"Hamburg",1
11,240,240,"Berlin",0
11,241,241,"Hamburg",1
11,242,242,"Hamburg",1
12,243,243,"Berlin",0
12,244,244,"Berlin",0
12,245,245,"München",1
12,246,246,"Berlin",0
12,247,247,"Berlin",0
12,248,248,"Berlin",0
12,249,249,"Berlin",0
12,250,250,"Nürnberg",0
12,251,251,"München",0
12,252,252,"München",0
12,253,253,"Amberg",0
12,254,254,"Berlin",0
12,255,255,"München",0
12,256,256,"Berlin",0
12,257,257,"München",1
12,258,258,"Berlin",0
12,259,259,"Berlin",0
12,260,260,"München",0
12,261,261,"Amberg",0
12,262,262,"Berlin",0
12,263,263,"München",0
13,264,264,"Dresden",0
13,265,265,"Dresden",0
13,266,266,"Dresden",0
13,267,267,"Dresden",0
13,268,268,"München",1
13,269,269,"München",1
13,270,270,"München",1
13,271,271,"München",1
13,272,272,"München",1
13,273,273,"Dresden",0
13,274,274,"Dresden",0
13,275,275,"München",1
13,276,276,"München",1
13,277,277,"Dresden",0
13,278,278,"Dresden",0
13,279,279,"Dresden",0
13,280,280,"München",1
13,281,281,"München",1
13,282,282,"München",1
13,283,283,"München",1
13,284,284,"München",1
14,285,285,"Mainz",0
14,286,286,"Mainz",0
14,287,287,"Berlin",1
14,288,288,"Berlin",1
14,289,289,"Mainz",0
14,290,290,"Mainz",0
14,291,291,"Mainz",0
14,292,292,"Mainz",0
14,293,293,"Mainz",0
14,294,294,"Mainz",0
14,295,295,"Mainz",0
14,296,296,"Mainz",0
14,297,297,"Mainz",0
